Name,Role,Pronouns,Groups,Other Names,Personality,Background,Physical Description,Dialogue Style,Smell,Personal technical add ons,Nicotine and Coffein preferences brand names and strength,Fast food preference,What’s inside personal work backpack,AI helping with,Relationships,Pets ,Relationships ,Video game preferences on pc and phone,sex toys,Alter ego Freya Wild,Relation ship
Sofia Lindqvist,supportingCharacter,she/her,,Sofia,"Measured and diplomatic, with natural leadership qualities. Approaches situations with intellectual curiosity rather than judgment. Known for maintaining calm during tense situations and finding common ground between different perspectives. Has a dry sense of humor that emerges in small group settings.","Third-year sociology student, leads multiple study groups and serves as student representative on academic committees. Comes from Malmö, bringing a slightly different urban perspective to Stockholm. Works part-time as a teaching assistant in research methods.","Tall (180cm) with short-cropped dark hair styled in an asymmetrical cut. Wears rectangular titanium-framed glasses. Favors minimalist, androgynous clothing in earth tones. Has a small geometric tattoo visible on her right wrist.",Speaks with deliberate pacing and a surprisingly gentle tone for her height. Uses academic terminology naturally but can switch to casual speech easily. Often ends statements with thoughtful pauses.,Light scent of earl grey tea and paper. Sometimes carries traces of chalk dust from teaching assistant work.,Uses a custom-modified Linux laptop. Wears a vintage Casio calculator watch. Carries both digital tablet and traditional notebook for different types of note-taking.,"Drinks strong Swedish press coffee, no sugar. Occasional American Spirit yellow (organic) cigarettes when deep in academic discussions.",Vegetarian who frequents the small falafel stand near campus. Has a weakness for cardamom buns from the local bakery.,"Leather messenger bag containing: research methods textbook, self-coded statistical analysis programs on USB drive, spare glasses, reusable coffee cup, small notebook of quotes from sociological texts.",Developed a custom citation management system using Python. Uses AI for preliminary data analysis in research projects.,,,"Sofia first noticed Ann Charlotte during an unexpected intimate encounter in the university library. Intrigued by Ann's boldness and intellectual reputation, Sofia later approached her at a campus party. Their shared appreciation for academic rigor and nuanced discussions led to a friendship, with Sofia inviting Ann to join her close-knit circle of friends from various departments.","Sofia enjoys strategic video games that challenge her analytical skills, often playing titles like ""Civilization VI"" on her custom-modified Linux laptop. On her phone, she prefers puzzle-based games such as ""Monument Valley,"" which provide a calming yet intellectually engaging experience during breaks between classes.",,,
"Viktor ""Vik"" Andersson",minorCharacter,he/him,,The Professor of Profit,Seasoned industry veteran with natural mentorship abilities. Combines street-smart practicality with sophisticated business acumen. Radiates quiet confidence without arrogance. Shows genuine interest in helping newcomers understand industry dynamics.,Former economics graduate who entered the industry 15 years ago. Built his own production company before selling it to focus on performing and consulting. Known for developing innovative revenue models that have become industry standards.,"Mid-40s, athletic build maintained through rock climbing. Salt-and-pepper hair kept precisely trimmed. Favors well-worn leather jackets over fitted black t-shirts. Has a distinctive scar above his right eyebrow from a motorcycle accident. Moves with deliberate grace that suggests martial arts training.","Speaks with measured confidence, seamlessly blending economic terminology with industry insights. Uses precise analogies to explain complex concepts. Occasional dry humor delivered with perfect timing. Voice carries warmth and authority without dominating.","Subtle mix of leather and sandalwood, with hints of premium coffee. No artificial fragrances, just clean and professional.",Latest iPad Pro with custom analytics software. Wears a discrete smart ring for tracking health metrics. Carries a high-end mirrorless camera for content creation.,"Hand-rolled cigarettes using premium Danish tobacco. Drinks single-origin espresso, precisely prepared on his personal machine.",Appreciates quality sushi and maintains a relationship with a local chef who prepares special off-menu items.,Custom leather portfolio with built-in power bank. Latest MacBook Air. Collection of industry analytics reports. High-end camera equipment. Protein bars and green tea.,Uses AI for market trend analysis and content optimization. Develops predictive models for industry trends.,,,Maintains professional boundaries while being approachable. Known for mentoring successful performers. Has a reputation for fair business practices and protecting performer interests.,,,,
Yuki Tanaka,minorCharacter,she/her,,Cherry Blossom Queen,"Gracefully confident and methodically precise, Yuki approaches her work with the disciplined focus of a master craftsperson. She combines traditional Japanese attention to detail with contemporary business acumen, maintaining a calm, observant demeanor that puts others at ease while commanding respect.","Former ballet dancer turned international performer, Yuki built her reputation in Tokyo's competitive entertainment industry before expanding to European markets. She holds a degree in International Business from Waseda University and maintains strong connections with Japan's digital entertainment innovations.","Elegant and poised at 35, Yuki moves with dancer's precision. Her short, precisely styled black hair features subtle purple highlights, and she favors minimalist designer clothing in neutral tones. She wears small, rectangular glasses with titanium frames when working on business matters.","Speaks deliberately in carefully constructed English, occasionally incorporating Japanese phrases for emphasis. Her voice carries quiet authority, and she often uses precise technical terminology when discussing industry matters.","Subtle notes of cherry blossom and sandalwood, mixed with the clean scent of high-end Japanese fabric softener. Her workspace often carries the faint aroma of sencha green tea.","Latest model Sony mirrorless camera for content creation, custom-built streaming setup with Japanese market-specific features, and a sophisticated translation app for maintaining international fan base.","Prefers traditional Japanese cigarettes (Mevius Premium Menthol) and drinks ceremonial grade matcha rather than coffee, prepared in an electric matcha whisk.","Gravitates toward high-end sushi and brings her own bento boxes to set, occasionally indulging in Swedish pastries as a cultural exchange.","Sleek Tumi backpack containing: MacBook Pro with Japanese keyboard, traditional silk fan, high-end camera equipment, carefully organized content planning notebooks, and emergency makeup kit with Japanese beauty brands.","Uses AI for translation services and content scheduling across international time zones, particularly for maintaining separate content streams for Japanese and European audiences.",,,"Maintains professional distance while serving as an occasional mentor to newer performers, particularly those interested in international markets. Has a close professional relationship with Nordic Vision's management team and provides cultural consulting for Asian market expansion.","Yuki prefers strategy and simulation games on her PC, enjoying titles like ""Civilization VI"" for its complex strategic elements and historical context. On her phone, she favors puzzle games such as ""Monument Valley,"" appreciating their artistic design and calming gameplay that offers a brief escape during busy days.",,,
Dr. Eric Nilsson,minorCharacter,he/him,,Dr. E,Progressive yet professional sports medicine specialist who approaches adult performer health with clinical precision and non-judgmental attitude. Combines Swedish pragmatism with international medical experience. Direct communication style tempered by genuine concern for patient welfare.,"Former Olympic team physician who transitioned to private practice specializing in performance medicine and wellness. Pioneered protocols for performer health in adult entertainment industry. Completed fellowship in Los Angeles, bringing American innovation to Swedish healthcare approach.","Mid-40s, athletic build maintained through regular swimming. Favors casual professional attire under white coat. Distinctive rimless glasses and Swiss medical watch. Maintains neat salt-and-pepper beard.",Uses precise medical terminology balanced with accessible explanations. Occasional dry humor when appropriate. Maintains professional boundaries while showing genuine interest in patient welfare.,Subtle combination of clinical antiseptic and high-end cologne. Trace of chlorine from morning swim routine.,"Latest model iPad Pro with medical apps, high-end fitness tracker, specialized medical monitoring devices.",Occasional espresso from clinic's machine. Non-smoker who advocates for healthy lifestyle choices.,Protein-rich salads from local health-focused restaurants. Keeps nutrition bars in office for busy days.,"Medical tablet, specialized testing equipment, high-end stethoscope, emergency response kit, protein bars, swimming gear.","Performance tracking app for monitoring talent health metrics, wellness scheduling system.",,,Professional relationship with Ann Charlotte/Freya Wild as her personal physician. Collaborates with Elsa and Magnus on industry health protocols. Respected by medical community despite unconventional specialization.,,,,
Lena Weber,minorCharacter,she/her,,Die Philosophin (The Philosopher),"Methodical, intellectually curious, and quietly confident. Approaches naturism and body politics through an academic lens. Combines German directness with sociological nuance. Has a gift for making complex philosophical concepts accessible through practical examples.","Exchange student from Humboldt University Berlin, writing thesis on body politics in Nordic societies. Third-generation FKK practitioner who grew up with naturist philosophy. Speaks four languages and has studied sociology in three countries.","Tall and athletic with short platinum blonde hair. Often wears minimalist black clothing when not practicing FKK. Square-framed titanium glasses and small geometric tattoos representing philosophical concepts. Natural appearance without makeup, reflecting FKK principles.",Speaks deliberately with precise vocabulary choices. Frequently uses academic terminology but can translate complex ideas into accessible language. Has a slight German accent that becomes more pronounced when excited about theoretical concepts.,"Light traces of essential oils (lavender and sage), reflecting her preference for natural products. Sometimes carries the scent of swimming pool chlorine from regular morning swims.",Latest model iPad Pro with extensive philosophy and sociology research libraries. Uses analog Moleskine notebooks for theoretical sketches. Wears a minimalist smart watch for tracking swimming metrics.,Drinks strong black coffee from a manual pour-over setup. Occasional American Spirit yellow (organic) cigarettes during intense theoretical discussions.,"Prepares her own meals following whole food principles. When eating out, favors authentic Turkish restaurants and vegetarian cafes.","Leather messenger bag containing: research materials, swimming gear, minimalist laptop, collection of philosophical texts, herbal tea sachets, and a small watercolor set for conceptual sketches.",Uses AI for literature review automation and theoretical framework mapping. Developing an algorithm to analyze historical patterns in body politics discourse.,,,"Forms an intellectual friendship with Ann Charlotte, offering theoretical perspectives on body autonomy and performance. Maintains professional relationships with sociology faculty across Europe. Close to her FKK community in Berlin.",,,,
Karl Otto,minorCharacter,he/him,,Der Philosoph,"Intellectually rigorous yet approachable, combines academic precision with earthy practicality. Speaks with conviction about body positivity and naturism philosophy while maintaining professional boundaries. Shows genuine passion for educating others about FKK culture.",Former philosophy professor from Berlin who left academia to promote broader understanding of naturist philosophy and body acceptance. Holds multiple degrees in Philosophy and Cultural Studies from Humboldt University. Regular speaker at European naturist conferences.,"Imposing 6'5"" frame with broad shoulders and strong Germanic features. Notable for his physical endowment, which he discusses matter-of-factly in educational contexts. Carries himself with dignified confidence that puts others at ease despite his size.","Speaks in measured, professorial tones with a slight German accent. Favors precise language and often incorporates philosophical references. Able to discuss intimate topics with clinical detachment while maintaining warmth and approachability.","Clean, subtle scent of natural deodorant and high-end unscented body lotion. Occasionally carries traces of sunscreen, reflecting his naturist lifestyle.","Wears simple, high-quality reading glasses. Carries a premium e-reader loaded with philosophical texts. Uses a specialized UV meter for monitoring safe sun exposure.","Drinks strong German coffee, preferably Dallmayr Prodomo. Non-smoker who occasionally enjoys natural herbal teas.","Favors healthy, organic meals. Particularly enjoys traditional German rye bread with various toppings. Maintains a disciplined diet reflecting his holistic approach to body wellness.","Contains well-worn copies of naturist philosophy texts, sunscreen, a high-end laptop, and a leather-bound journal for philosophical observations.",Uses AI for translating his naturist philosophy writings between German and Swedish/English. Employs scheduling software to manage his speaking engagements.,,,"Maintains professional mentorship relationships with industry figures interested in body-positive philosophy. Known for his respectful, boundary-conscious interactions with performers and staff.","Karl Otto enjoys video games that challenge his strategic thinking and philosophical interests. On his PC, he favors complex simulation games like ""Civilization VI,"" where he can explore historical and cultural development. For mobile gaming, he prefers minimalist puzzle games such as ""Monument Valley,"" which offer a meditative experience aligned with his appreciation for aesthetics and thoughtful design.",,,
Nils Ekström,minorCharacter,he/him,,The Algorithm Whisperer,"Methodical and socially awkward but brilliant, with a dry wit that emerges unexpectedly. Deeply ethical about AI development, obsessed with data privacy and user consent. Tends to explain complex concepts through elaborate food metaphors.","PhD in Computer Science from KTH Royal Institute of Technology, specializing in recommendation systems and user behavior analysis. Previously worked at Spotify developing content algorithms before joining Nordic Vision to revolutionize their digital platform architecture.",Tall and lanky with perpetually disheveled auburn hair. Wears thick-rimmed round glasses and exclusively black merino wool sweaters with dark jeans. Has a collection of AI-themed enamel pins on his messenger bag. Distinctive typing style using all ten fingers at remarkable speed.,"Speaks in precise, technical terms with occasional bursts of unexpected metaphors. Often trails off mid-sentence when deep in thought. Tends to reference academic papers by author and year in casual conversation.","Combination of fresh coffee, new electronics, and subtle hints of cardamom from his constant Swedish fika breaks.","Custom-built mechanical keyboard with silent switches, three ultrawide monitors, and a self-designed AI assistant that helps manage his daily schedule. Wears a smart watch that tracks his caffeine intake and optimal coding times.",Triple shot oat milk lattes from specific cafes that meet his exacting standards. No nicotine - claims it interferes with optimal neural function.,Vegetarian ramen from a specific food truck that parks outside the office. Has a spreadsheet ranking every falafel place in Stockholm.,"Multiple external SSDs, a dog-eared copy of ""Ethics of Artificial Intelligence"", emergency protein bars, and a collection of imported Japanese green teas.",Developed a custom content recommendation system that respects user privacy while optimizing engagement. Created AI tools for automatic content tagging and metadata generation.,,,"Maintains professional distance but develops unexpected friendship with Ann Charlotte, fascinated by her analytical approach to both academia and performance. Occasionally consults with Dr. Henrik on the intersection of economics and AI.",Plays complex strategy games like Factorio and Dwarf Fortress. Developed his own mobile game that uses machine learning to generate endless puzzle variations.,,,
Dmitri Volkov,supportingCharacter,he/him,,Dima,"Methodical, reserved, and precise in speech and movement. Combines athlete's discipline with engineer's analytical mind. Struggles to express emotions directly but shows care through practical support and detailed advice.",Former competitive bodybuilder from Minsk who immigrated to Sweden in the 1990s. Mechanical engineering background. Divorced when Ann Charlotte was 14. Now runs a specialized gym equipment maintenance business.,"Tall, broad-shouldered man in his early 50s with maintained but no longer competition-level physique. Close-cropped grey hair, rectangular glasses. Favors practical, well-maintained workwear and carries a leather-bound notebook for calculations.","Speaks precisely in accented Swedish with occasional Russian phrases. Uses technical terminology and sports metaphors. Tends toward brief, direct statements with careful word choice.","Combination of machine oil, leather, and subtle mint-scented aftershave. Carries trace of chalk dust from gym equipment maintenance.",Uses specialized diagnostic tools for gym equipment. Maintains detailed spreadsheets for business and personal life. Wears analog watch with multiple technical functions.,"Occasional Winston Blue cigarettes. Drinks strong black coffee from local roaster, precisely measured and prepared in personal thermos.","Prepares own meals following strict macronutrient calculations. When pressed for time, favors Max's protein-rich options.","Digital multimeter, precision tools in leather case, tablet with custom equipment diagnostic apps, protein bars, technical manuals.",Custom spreadsheet system for tracking equipment maintenance schedules and business metrics.,,,Maintains careful distance but regular contact with Ann Charlotte through scheduled monthly dinners. Professional relationships with gym owners. Limited social circle focused on fellow Eastern European immigrants.,No gaming beyond chess apps and equipment diagnostic software.,,,
Dr. Maria Elena Volkov,supportingCharacter,she/her,,"Dr. M.E. Volkov, Mama Elena","Precise, methodical, and nurturing. Combines Filipino warmth with scientific rigor. Strong sense of family duty balanced with professional ambition. Quietly proud of her achievements while maintaining humility.","Dr. Maria Elena Volkov first encountered Dmitri at a bodybuilding show in Stockholm, where his disciplined performance and analytical mindset caught her attention. Intrigued by their shared commitment to precision and excellence, she approached him after the event, leading to conversations that seamlessly blended science and fitness. This chance meeting marked the beginning of their deep connection, eventually intertwining their professional ambitions with personal lives.","Petite but commanding presence, 5'2"" with straight black hair worn in a practical bob. Favors structured blazers in jewel tones over traditional Filipino-inspired silk blouses. Minimal jewelry except for a jade pendant from her mother.","Speaks with measured precision, mixing technical terminology with gentle Filipino expressions. Switches effortlessly between English, Swedish, Filipino, and Russian depending on context.",Subtle combination of jasmine hand cream and clean lab coat. Sometimes carries the aroma of traditional Filipino cooking when returning from the kitchen.,"Latest model iPad Pro for research papers, smart home system to manage household efficiently, high-end coffee maker programmed to start before dawn.","Occasional green tea, strictly no smoking. Keeps a traditional Filipino coffee press for weekend brewing of imported Barako coffee.",Prepares home-cooked Filipino meals but enjoys Swedish sushi restaurants for quick lunches. Keeps frozen lumpia in office freezer.,"Leather laptop bag containing iPad Pro, research papers, family photos, emergency mints, and a small container of homemade Filipino snacks.",Uses AI for research data analysis and maintaining family calendar. Skeptical but practical about AI's role in education.,,,"Following her divorce from Dmitri, Dr. Maria Elena Volkov maintains a respectful and collaborative relationship with him, particularly valuing their shared commitment to education and discipline. She remains protective of Ann Charlotte, offering guidance while respecting her independence, and continues to engage deeply with the Filipino academic community for support and connection.",Enjoys puzzle games like Sudoku on her iPad. Installed Filipino soap operas streaming app but rarely finds time to watch.,,,
Astrid Nyström,supportingCharacter,she/her,,sudo_stream,Passionate but pragmatic open source advocate with strong ethical principles. Combines technical expertise with community organizing skills. Direct in communication but patient when explaining complex concepts. Values transparency and knowledge sharing above all.,Computer science PhD candidate researching decentralized streaming protocols. Founded multiple successful open source projects. Organizes Stockholm's largest open source meetup group. Previously worked at Mozilla Foundation.,"Early 30s, average height with an athletic build from regular rock climbing. Practical shoulder-length brown hair often in a messy bun. Favors ethically-made clothing in earth tones. Notable raspberry-colored framework glasses. Small Linux penguin tattoo on wrist.",Clear and precise technical explanations mixed with occasional programming metaphors. Uses inclusive language naturally. Frequently references FOSS philosophy and ethics. Switches easily between technical jargon and accessible explanations.,Subtle scent of earl grey tea and sandalwood. Natural deodorant with hints of cedar.,Custom-built Linux laptop covered in FOSS stickers. Self-hosted cloud services. Multiple mechanical keyboards. Always carries a USB drive with portable Linux distro.,"Fair trade organic coffee from local roaster, french press method. Occasional American Spirit yellows when coding late.",Vegetarian Indian takeaway from family-owned restaurant near campus. Makes own sourdough bread.,"Framework laptop, spare mechanical keyboard, multiple encrypted drives, self-hosted VPN hardware key, technical documentation notebooks, climbing chalk bag.",Developing open source streaming platform alternatives. Creating educational resources for digital privacy.,,,"Astrid Nyström serves as a mentor to Sofia Lindqvist, guiding her through the intricacies of open source technology and digital privacy. Their relationship is built on mutual respect and shared intellectual curiosity, with Astrid providing insights into ethical tech practices that complement Sofia's academic pursuits.",Contributes to open source game engines. Enjoys roguelikes and puzzle games. Maintains privacy-focused mobile OS.,,,
Klara Söderberg,minorCharacter,she/her,,@klaralytics,"Methodical and data-driven, with an unexpected creative streak. Approaches social media as both science and art. Direct in communication but maintains warm professionalism. Has a dry sense of humor that emerges in strategy meetings.","Former digital marketing researcher at Stockholm School of Economics. Built several successful influencer campaigns before joining Nordic Vision. Speaks Swedish, English, and Python. Regularly gives guest lectures on digital marketing analytics.","Mid-30s, practical but polished appearance. Wears minimalist silver jewelry and carries a sleek laptop bag. Often seen in monochrome outfits with bold geometric accessories. Has a small tattoo of the Twitter API bird on her wrist.",Speaks in precise terms with occasional tech jargon. Uses data visualization metaphors in casual conversation. Tends to reference engagement metrics and platform algorithms naturally.,Light scent of Earl Grey tea and sandalwood hand cream. Her workspace always has a subtle hint of fresh coffee.,"Latest MacBook Pro, three monitors for tracking analytics. Custom-built social media dashboard. Wears noise-canceling earbuds during deep work sessions.",Double espresso shots throughout the day. Occasional American Spirit yellows during intense strategy sessions.,"Poké bowls from Urban Deli, occasionally splurges on sushi from ESA Sushi.","M1 MacBook Pro, iPad Pro with Apple Pencil, Moleskine notebook with color-coded tabs, emergency protein bars, spare phone charger, mini analytics reference cards.","Custom Python scripts for social media analytics, engagement tracking AI, content optimization algorithms.",,,Mentor to junior social media staff. Professional but friendly relationship with talent. Regular collaboration with Magnus on content strategy.,Casual mobile puzzle games for stress relief. Maintains a gaming PC for streaming analytics research.,,,
Saga Bergström,minorCharacter,she/her,,@pixelsaga,"Methodical, privacy-focused, and quietly revolutionary. Combines technical expertise with social awareness. Shows unexpected warmth when discussing digital sovereignty.","Early 30s, Swedish software developer who helped establish one of the largest Pixelfed instances in Scandinavia. Former Instagram influencer who became disillusioned with centralized platforms.",Tall and athletic with short platinum blonde hair. Favors minimalist clothing in grayscale with occasional pops of electric blue. Distinctive rectangular titanium glasses and always wears a vintage mechanical watch.,"Speaks precisely and deliberately, often using technical terms but able to translate complex concepts into accessible metaphors. Has a habit of prefacing statements with ""Actually..."" when correcting misconceptions about privacy.",Light scent of earl grey tea and sandalwood. Workshop smell of electronics and soldering iron occasionally clings to her clothes.,"Custom-built mechanical keyboard with Nordic layout, self-hosted cloud server, encrypted smartphone running GrapheneOS, always carries a hardware security key.",Drinks strong Swedish coffee (Gevalia) from a vacuum-insulated tumbler. Occasional American Spirit yellow (organic) when coding late.,"Vegetarian ramen from local fusion place, builds elaborate salads from ICA's organic section, weakness for cardamom buns from Fabrique.","Framework laptop with Linux, multiple hardware security keys, notebook with privacy stickers, portable power bank, emergency protein bars.","Develops custom analytics tools for Pixelfed instance monitoring, maintains several automation scripts for content migration from centralized platforms.",,,Maintains professional boundaries while being approachable. Close friendship with other tech activists. Complicated relationship with former Instagram followers who haven't followed to Pixelfed.,"Plays privacy-focused mobile games like Shattered Pixel Dungeon. On PC, enjoys open-source strategy games and maintains a small Minecraft server.",,,
Vera Lindholm,minorCharacter,she/her,,The Infrastructure Builder,"Methodical and strategic, with a quiet intensity that commands respect. Combines technological pragmatism with social idealism. Shows unexpected warmth when discussing cooperative business models and digital sovereignty.",Former systems architect who left a prestigious tech company to build alternative infrastructure for independent content creators. Founded Autonomous Media Collective after recognizing the need for creator-owned platforms.,"Mid-30s, average height with an athletic build from regular rock climbing. Wears simple, well-made clothes in dark colors, often paired with distinctive handmade silver jewelry from local artisans. Has a small geometric tattoo of interconnected nodes on her right forearm.","Speaks deliberately with technical precision, often using infrastructure and cooperative business terminology. Has a habit of drawing system diagrams while explaining complex concepts.","Light scent of cardamom and cedar, mixed with the subtle aroma of recently soldered electronics from her workshop.","Custom-built mechanical keyboard with Nordic layout, self-hosted cloud infrastructure, and a modified ThinkPad running Arch Linux. Carries a well-worn Remarkable tablet for note-taking.","Drinks strong Swedish coffee from a local roaster, preferring light roasts. Occasionally enjoys snus, specifically General Stark White Portion.",Frequents worker-owned cafes and food cooperatives. Has a weakness for kanelbullar from a specific family-owned bakery near her office.,"Framework laptop with privacy screen, collection of USB security keys, notebook filled with infrastructure diagrams, emergency toolkit for server maintenance.",Developing decentralized content distribution networks and creator-owned platforms using federation protocols.,,,Maintains professional boundaries while fostering community among content creators. Close friendship with several tech cooperatives in Berlin and Amsterdam.,Plays privacy-focused indie games and maintains a small Minecraft server running on sustainable energy. Mobile games limited to open-source puzzle games.,,,
Darius Kovač,minorCharacter,he/him,Nordisk Säkerhet AB,The Observer,"Reserved, analytical, and hyper-observant. Maintains professional distance while carefully assessing situations and people. Shows unexpected dry humor when comfortable. Carries himself with the quiet confidence of someone who has seen too much but remains composed.","After leaving Sentinel Group, Darius transitioned to Nordisk Säkerhet AB, where he applies his extensive field experience to the specialized realm of security consulting. His role involves assessing risks and implementing safety protocols for high-profile clients, including those within the adult entertainment industry. Drawing on his military background, he brings a disciplined approach to threat analysis and has become an integral part of the company's operations in Sweden.","Mid-40s, weathered face with alert grey eyes that constantly scan surroundings. Lean, athletic build maintained through daily running and bodyweight exercises. Close-cropped salt-and-pepper hair. Favors well-tailored dark business casual attire that allows freedom of movement.","Speaks in measured, precise terms usually with occasional military terminology. Tends toward brevity but can be surprisingly articulate when discussing security protocols. Slight Croatian accent becomes more noticeable when tired.",Subtle combination of high-end unscented deodorant and leather from his worn messenger bag. Sometimes carries traces of coffee and gun oil.,Modified Thinkpad laptop with custom security features. Two phones: latest iPhone for client communication and a hardened Android for personal use. Wears a discrete Garmin tactical watch.,"Black coffee, strong but limited to two cups daily. No nicotine - quit during his last deployment. Carries coffee in a titanium thermos.",Protein-heavy meals from local vendors he's personally vetted. Favors Croatian restaurants when available but adapts to local options. Always sits facing the door.,"Encrypted laptop, first aid kit, compact satellite phone, paper notebook with coded entries, spare phone battery, protein bars, and a well-worn copy of Sun Tzu's ""Art of War"" in Croatian.","Uses AI for pattern recognition in security footage and threat assessment algorithms, but maintains healthy skepticism about over-reliance on technology.",,,Maintains professional distance but has earned respect in both security and adult entertainment circles. Regular contact with former PMC colleagues. Weekly calls with sister in Zagreb.,"No recreational gaming, but uses military simulation software to stay current with tactical scenarios. Has chess app on phone but rarely plays.",,,
Jonas Ekdahl,minorCharacter,he/him,,@coopforge,Passionate and idealistic with a tendency to interrupt conversations with theoretical tangents. Combines academic rigor with practical experience in cooperative businesses. Often uses humor to deflect tension in serious discussions. Shows genuine interest in others' perspectives while maintaining strong convictions about economic alternatives.,Former tech startup employee who left to help establish worker cooperatives. Currently pursuing a master's in Economic History while running a small cooperative consulting practice. Spent two years working with agricultural cooperatives in northern Sweden before returning to academia.,"Tall and lanky with perpetually disheveled brown hair. Wears well-worn corduroys and second-hand sweaters, often with cooperative organization logos. Distinctive round wire-frame glasses that he frequently adjusts while making arguments. Moves with nervous energy when excited about a topic.","Speaks in rapid bursts of enthusiasm, often interrupting himself to add theoretical context. Peppers conversation with references to obscure economic theorists and cooperative history. Uses self-deprecating humor to make complex ideas more accessible.",Subtle scent of fair-trade coffee and old books. Often carries the lingering aroma of the cardamom buns from the student cooperative café where he holds informal study groups.,Uses a refurbished ThinkPad running Linux with stickers from various cooperative organizations. Carries a well-worn Fairphone with custom ROM focused on privacy. Maintains a personal wiki documenting cooperative case studies.,"Rolls his own cigarettes using organic tobacco, though trying to quit. Drinks excessive amounts of fairly traded coffee, preferring light roasts from worker-owned roasteries.",Frequents student cooperative café for their cardamom buns. Often brings homemade sandwiches in beeswax wraps. Has strong opinions about sustainable food systems.,"Battered leather messenger bag containing: laptop, dog-eared copies of cooperative theory books, reusable coffee cup, notebook filled with meeting minutes and theoretical diagrams, USB with encrypted cooperative business plans.",Developing an open-source platform for cooperative governance and decision-making. Uses AI tools to analyze cooperative business models while remaining critical of corporate AI development.,,,"Close friendship with Sofia, often engaging in friendly debates about economic theory. Maintains connections with rural cooperative networks. Somewhat awkward but genuine interest in Ann Charlotte's perspective on economic autonomy.",Plays worker-owned cooperative management games. Maintains a small server for Minecraft with an economic simulation mod. Mobile games limited to open-source puzzle games.,,,
Ingrid Lindgren,minorCharacter,she/her,,"Mrs. Lindgren, ""The Archivist""","Direct and unapologetic, combining academic precision with earthy wisdom. Sharp observational skills masked by a grandmotherly exterior. Maintains an air of quiet authority earned through decades of experience.","Former Uppsala University activist in the 1960s sexual liberation movement. Retired librarian who specialized in archival sciences. Widow of 43 years living in the same apartment building, maintaining connections to both academic and community life.","Silver hair always neatly pinned back, wire-rimmed glasses, and impeccable posture despite her age. Favors practical cardigans and well-tailored skirts. Moves with deliberate grace that suggests years of yoga practice.","Speaks with precision and unexpected frankness, often delivering profound insights through casual observations. Uses academic terminology naturally but switches to colloquial speech when making important points.","Subtle combination of herbal notes from her rooftop garden - rosemary, lavender, and mint - mixed with the clean scent of starched cotton and old books.","Maintains a meticulously organized digital archive of feminist literature on a tablet, uses noise-canceling headphones for classical music appreciation.","Enjoys single-origin coffee, brewed precisely in a manual pour-over setup. No smoking, but keeps Swedish snus in her desk drawer as a remnant of old habits.","Prepares her own open-faced sandwiches with homegrown herbs, occasionally indulges in traditional Swedish pastries from the local bakery.","Canvas tote bag containing gardening journal, herb scissors, tablet loaded with feminist archives, and a well-worn copy of Simone de Beauvoir's works.",Uses a digital archive system to catalog her extensive collection of feminist literature and movement documentation. Maintains a blog about urban gardening.,,,Close relationship with her granddaughter who keeps her updated on technology. Developing a mentor-like relationship with Sofia. Maintains connections with former Uppsala activists.,Plays digital versions of classic card games and uses a meditation app recommended by her granddaughter. Keeps track of her garden inventory through a specialized app.,,,
Marcus Ekholm,minorCharacter,he/him,,Echo,"Contemplative and methodical, with an artist's sensitivity and an engineer's precision. Approaches sound design as both technical craft and emotional architecture. Quiet but engaging when discussing his passions, showing unexpected depth in conversations about art and perception.","Former classical musician turned sound engineer, studied at the Royal College of Music in Stockholm before transitioning to audio production. Worked on experimental electronic music projects before finding his niche in professional audio design.","Mid-30s, lean build with long fingers that betray his musical background. Favors monochromatic clothing in blacks and grays, often wearing high-end noise-canceling headphones around his neck. Has a distinctive geometric tattoo on his right forearm representing sound waves.","Speaks in measured tones with careful word choice, often using audio metaphors and technical terminology. Tends to pause thoughtfully before responding, as if mixing the perfect verbal track.","Subtle combination of nag champa incense and vintage electronic components, with traces of coffee and the ozoney smell of his preferred organic cleaning products for audio equipment.","Custom-built digital audio workstation, modified vintage synthesizers, high-end field recording equipment, and a collection of specialized microphones. Wears a minimalist smart watch that monitors ambient sound levels.","Rolls his own cigarettes using organic tobacco, drinks single-origin pour-over coffee from local roasters, particularly fond of Ethiopian beans.","Vegetarian ramen from Ai Ramen, falafel wraps from Falafelbaren, occasionally splurges on fine dining experiences for their acoustic ambiance.","Modular synthesizer patches stored on USB drives, high-end portable recorder, spare headphones, technical manuals, notebook filled with waveform sketches, collection of specialized audio cables.","Uses AI for sound pattern analysis and generating ambient soundscapes, but maintains skepticism about its role in creative decision-making.",,,Maintains professional boundaries while forming genuine connections through shared artistic interests. Close friendship with Sofia based on their mutual appreciation for minimal electronic music.,"Enjoys atmospheric games like Journey and Electroplankton. On mobile, plays generative music apps like Bloom and Endel.",,,
